site_name,url,snippet,discovery_source,source_status,vibe_score,deal_title,deal_price,original_price,meh_signals,meh_signal_hits,scrape_method,quality_score,niche,rationale,accepted,rejection_reason
Deal of the Day: 60 percent off Bailey 44 fleece top - The Today Show,https://www.today.com/style/deal-day-60-percent-bailey-44-fleece-top-t120921,"This deal can only be found on our Shop TODAY Facebook page and will run for just 24 hours. There will be a new deal every day, so be sure to ...",search,new,6,Deal of the Day: 60 percent off luxe fleece top from Bailey 44,$148,,today only,1,requests,2,,"This is a deal page on a news/media website (The Today Show), not an independently operated daily deals website.",no,score 2 < 6
Saving Money Has Never Been This Much Fun: New GameDuJour ...,https://www.gamesindustry.biz/saving-money-has-never-been-this-much-fun-new-gamedujourcom-site-offers-one-deal-a-day-on-the-worlds-best-downloadable-pc-games,"For those who love casual PC games, Game du Jour is the first company in the world to offer ""one deal a day"" with significant discounts on many of the most ...",search,new,6,"Saving Money Has Never Been This Much Fun: New GameDuJour.com
Site Offers ""One Deal a Day"" on the World's Best Downloadable PC
Games",$2,,"one deal, daily deal, midnight, woot",4,requests,8,Casual PC games,"This appears to be a legitimate 'one deal a day' website focused on discounted downloadable PC games, which fits the criteria.",yes,
That Daily Deal,https://www.thatdailydeal.com,One deal a day US,seed,new,7,,,,,0,failed,0,,"The website appears to be non-functional, as the scrape attempt failed to retrieve any content. Without any actual deal information or site details, it cannot be evaluated as a potential 'one deal a day' site.",no,score 0 < 6
Client sale limit? :: Schedule I General Discussion - Steam Community,https://steamcommunity.com/app/3164500/discussions/1/830459392060039057/,Only limited to the number of clients you have access to and the fact almost all of them will only do one deal a day. Once their addiction ...,search,new,5,Client sale limit? :: Schedule I General Discussion,"$ 1,500",,,0,requests,0,,"This appears to be a discussion forum thread on the Steam Community website, which is not a deal site itself.",no,score 0 < 6
SideDeal,https://sidedeal.com,Daily deals sister site to Meh,seed,new,7,Account,$ 8,$50,flash sale,1,requests,8,Meh-style daily deals,"SideDeal appears to be a daily deals site that aligns with the criteria, offering a single discounted product per day directly to consumers.",yes,
Meh,https://meh.com,One deal a day,seed,new,7,Odyssey Toys Zoom Cam Mini RC Racer FPV,$ 29,$80,,0,requests,9,Meh-style daily deal site,"Meh.com is a US-based independent website that primarily sells one discounted product per day directly to consumers, aligning with the desired criteria.",yes,
UntilGone,https://www.untilgone.com,Limited quantity daily deals,seed,new,7,UntilGone.com,$69.99,,,0,requests,8,Daily deals,"UntilGone.com appears to be a legitimate daily deal site offering a single discounted product per day, which aligns with the target criteria.",yes,
Drop,https://drop.com,Enthusiast daily deals audio keyboards EDC,seed,new,7,Drop - Gaming Collaborations,,,pass,1,requests,5,Enthusiast product deals,"Drop is a daily deals site focused on enthusiast products like audio, keyboards, and EDC, but it doesn't have the single-item, Meh-style format the client is looking for.",no,score 5 < 6
Deal of the Day - PC Richard,https://www.pcrichard.com/deal-of-the-day.html?srsltid=AfmBOor7NREoE179Ksp4pu3EkNU3e8lxwgdNAXOezS8ySOvi3cAeK87r,The best bargains don't last long! Shop the P.C. Richard & Son Deal of the Day before it's gone!,search,new,4,Deal of the Day,$250,,pass,1,requests,3,general e-commerce,"This appears to be a general e-commerce site with a 'Deal of the Day' feature, rather than a dedicated 'one deal a day' website.",no,score 3 < 6
"Helen Brown Obituary & Funeral | Paw Paw, MI",https://betzlerlifestory.com/obituaries/helen-brown.6009,"She knew how to make the most of what she had, and she and her friends would dig through boxes looking for that special deal of the day, oblivious to any ...",search,new,4,"Helen Brown Obituary & Funeral | Paw Paw, MI | Betzler Life Story Funeral Homes",,,,0,requests,0,N/A,"This is an obituary for a person named Helen Brown, not a deal site.",no,score 0 < 6
TOONTRACK Unleashes HOLDAY DEAL WEEK: One Deal A Day ...,https://geargods.net/news/toontrack-holiday-deal-week/,"TOONTRACK Unleashes HOLDAY DEAL WEEK: One Deal A Day, Monday Through Friday ... That's right, Toontrack has just announced the first day of their 2018 Holiday ...",search,new,4,"TOONTRACK Unleashes HOLDAY DEAL WEEK: One Deal A Day, Monday Through Friday - Gear Gods",,,one deal,1,requests,0,,"This is a news article about a deal promotion, not a deal site itself, so it does not meet the criteria for a 'one deal a day' site.",no,score 0 < 6
One Deal A Day | WhatsApp Catalog,https://catalog.watrend.com/odad-MTLO,"Shop smart, save more, and enjoy a smooth shopping experience right here on WhatsApp! *Follow the One Deal A Day channel on WhatsApp*: https://whatsapp.com ...",search,new,4,One Deal A Day,,,one deal,1,requests,0,N/A,"The page appears to be a closed store that previously offered a 'One Deal A Day' format, but is currently not accepting orders.",no,score 0 < 6
Bay Village At a Glance - Sissons Flowers,https://www.sissonsflowers.com/bay-village-ohio-at-a-glance/,Green Plant Deal of the Day $49.00; Cotton Candy Sweetie $99.00; One Dozen Red Hot Roses $129.00. Gift Shop. Main Menu. Gift Baskets · Candles · Home Décor ...,search,new,4,Bay Village At a Glance,$73.00,,,0,requests,2,,"This is not a daily deal site, but rather a local business website for a florist that happens to list some product prices on their homepage.",no,score 2 < 6
About Us - Tri State Distributors,https://shop.tristatedistributors.com/page/customer-services/about-us,"Check out our latest TSD Deal of the Day! ... We're uploading fresh promos daily, and for 24 hours only, you'll have the opportunity to grab amazing deals. Don't ...",search,new,4,Check out our latest TSD Deal of the Day!,$0.00,,,0,requests,0,Not a deal site,"This site appears to be a wholesale distributor for various products, not a consumer-facing daily deal site.",no,score 0 < 6
